iter	RMSE
147	379.274271
148	378.8659644
149	378.4763927
150	378.0445714
151	377.7708478
152	377.3519858
153	376.8488596
154	376.4068701
155	376.1155221
156	375.5417655
157	374.9870807
158	374.7275671
159	374.5181975
160	374.1084776
161	373.7589075
162	373.58846
163	373.2196851
164	373.0018204
165	372.5476315
166	372.2934812
167	371.9944141
168	371.6017258
169	371.3263808
170	370.9910002
171	370.7891796
172	370.4590791
173	370.2498142
174	369.8654398
175	369.5956405
176	369.1390138
177	368.5768837
178	368.2275798
179	367.9375024
180	367.5227197
181	367.2521071
182	366.9056183
183	366.6341609
184	366.2009354
185	365.8276866
186	365.5936141
187	364.9417454
188	364.5729207
189	364.4985273
190	364.0778166
191	363.9152719
192	363.5490303
193	363.2806243
194	362.7655507
195	362.5605345
196	362.0845236
197	361.8628929
198	361.5648331
199	361.4273612
200	361.1353058
201	360.7861088
202	360.5951463
203	360.276297
204	360.0536352
205	359.9968714
206	359.6131114
207	359.4214273
208	359.1303331
209	358.8325063
210	358.5795272
211	358.4503014
212	358.0147872
213	357.6102244
214	357.5474626
215	357.4309062
216	357.3805935
217	357.0387431
218	356.5634156
219	356.2093376
220	356.0088983
221	355.8945746
222	355.5925729
223	355.2141304
224	354.673368
225	354.4429474
226	354.019092
227	353.6489642
228	353.3528296
229	353.0918509
230	352.919093
231	352.6267504
232	352.4453815
233	352.1716814
234	351.9804356
235	351.8101516
236	351.5625863
237	351.1911362
238	350.9555617
239	350.558219
240	350.4971562
241	350.1401651
242	349.9026619
243	349.6699593
244	349.4660204
245	348.8495535
246	348.3951936
247	348.1610872
248	347.9758654
249	347.7055478
250	347.4398692
251	347.2017934
252	347.0313236
253	346.8995863
254	346.7450655
255	346.5302493
256	346.103801
257	345.8765493
258	345.5831589
259	345.2157582
260	344.89771
261	344.4287684
262	344.1258212
263	343.7812901
264	343.4273082
265	343.1347069
266	342.9837742
267	342.6838014
268	342.4564838
269	342.3566701
270	342.1445518
271	341.92605
272	341.7125815
273	341.5307663
274	341.3163559
275	341.2775942
276	341.0233656
277	340.7328905
278	340.4528448
279	340.1065729
280	339.8696675
281	339.5505361
282	339.1085434
283	338.8157701
284	338.5578976
285	338.4494463
286	338.4041232
287	338.3548277
288	338.0490641
289	337.7954402
290	337.2035326
291	337.1431116
292	336.910151
293	336.4803699
294	336.2704494
295	336.0475774
296	335.9842401
297	335.7798429
298	335.6803536
299	335.4859591
300	335.3374971
301	335.2957997
302	335.173375
303	334.9814704
304	334.9439131
305	334.6671388
306	334.3716539
307	334.104193
308	334.0624661
309	333.8991479
310	333.6230477
311	333.5513831
312	333.1266484
313	332.9763805
314	332.7277116
315	332.3197649
316	332.0087552
317	331.5643274
318	331.3650839
319	331.09546
320	330.6742817
321	330.4664333
322	330.1195709
323	329.7926351
324	329.6175062
325	329.232169
326	329.0109853
327	328.7843698
328	328.4884016
329	327.9233495
330	327.5909041
331	327.3422404
332	327.2907716
333	327.0814543
334	327.0578797
335	326.7019061
336	326.2901896
337	326.0293426
338	325.7020947
339	325.390053
340	325.2918735
341	324.9929255
342	324.8824554
343	324.6246098
344	324.2387344
345	324.0845955
346	323.9331125
347	323.6870109
348	323.6523406
349	323.4168843
350	323.1556209
351	323.0170288
352	322.8473622
353	322.711745
354	322.4506909
355	322.3309431
356	322.1178837
357	321.9188281
358	321.895228
359	321.7786837
360	321.4935303
361	321.3327444
362	321.0831283
363	320.9434285
364	320.9136573
365	320.4673183
366	320.250732
367	319.9823498
368	319.8052987
369	319.5723515
370	319.282217
371	318.9822232
372	318.7489625
373	318.6137939
374	318.5178809
375	318.2670256
376	318.0722581
377	317.946633
378	317.6683522
379	317.3934243
380	317.2644636
381	317.0489133
382	316.7208896
383	316.5255205
384	316.1674076
385	315.9658117
386	315.8611763
387	315.6392425
388	315.4696552
389	315.3037231
390	315.1594862
391	314.7326886
392	314.4694145
393	314.2485387
394	314.1977827
395	314.0289521
396	313.8928133
397	313.7245474
398	313.3458291
399	313.198665
400	313.0901613
401	312.9453409
402	312.7707755
403	312.7112933
404	312.5675348
405	312.3619802
406	312.2835367
407	312.1136134
408	311.8104092
409	311.6277181
410	311.3685942
411	311.2330279
412	311.1104485
413	310.8868422
414	310.5577754
415	310.4109384
416	310.2816755
417	309.9638475
418	309.6717418
419	309.4055878
420	309.0991888
421	308.7778795
422	308.480773
423	308.3568499
424	308.1171339
425	307.8739624
426	307.7285508
427	307.5558995
428	307.4017467
429	307.104494
430	306.8607094
431	306.6632475
432	306.3232044
433	306.212215
434	306.0414283
435	305.9162153
436	305.7694706
437	305.4494891
438	305.2778375
439	305.0906293
440	305.072291
441	304.8096244
442	304.5237798
443	304.3856959
444	304.1104078
445	303.9974237
446	303.7351827
447	303.5485423
448	303.2623298
449	302.9413244
450	302.8336363
451	302.7004144
452	302.5479755
453	302.2696282
454	302.0816652
455	301.9720824
456	301.8234172
457	301.6011993
458	301.3160271
459	301.1854363
460	301.014529
461	300.8784342
462	300.5045803
463	300.2961327
464	300.1242038
465	299.9022228
466	299.6297513
467	299.4217974
468	299.3208715
469	299.1215288
470	298.9973878
471	298.9569167
472	298.7877643
473	298.6054449
474	298.4402853
475	298.2686845
476	298.0484696
477	297.961027
478	297.6692704
479	297.4388084
480	297.2616183
481	297.0500341
482	297.0316804
483	296.8917447
484	296.6747837
485	296.5190786
486	296.3655371
487	296.2407628
488	296.1275162
489	295.8554237
490	295.734917
491	295.5072528
492	295.4682938
493	295.3022606
494	295.0777488
495	294.8764158
496	294.7280217
497	294.5803686
498	294.3853112
499	294.1670605
500	294.017537
501	293.9342506
502	293.6951166
503	293.5739514
504	293.396355
505	293.2214056
506	293.1110921
507	292.9370296
508	292.7774106
509	292.5030154
510	292.3142043
511	292.199362
512	292.0577372
513	291.9559942
514	291.7876434
515	291.6930403
516	291.5055914
517	291.3728009
518	291.2161596
519	291.1194989
520	290.9670318
521	290.7708878
522	290.6827247
523	290.5249494
524	290.4719995
525	290.2504433
526	290.0919196
527	289.74434
528	289.6171667
529	289.4983588
530	289.3553555
531	289.1333712
532	289.0018138
533	288.9288399
534	288.8463837
535	288.586186
536	288.4460837
537	288.2277368
538	288.0906661
539	287.8751123
540	287.7719786
541	287.5761035
542	287.4143655
543	287.2653203
544	286.989638
545	286.8388207
546	286.6822687
547	286.5460549
548	286.3345035
549	286.17584
550	286.0096749
551	285.8729346
552	285.6912808
553	285.5440926
554	285.3018341
555	285.071428
556	284.8600049
557	284.7193116
558	284.6079591
559	284.4556651
560	284.3536125
561	284.189843
562	284.0806656
563	283.9271064
564	283.8281566
565	283.6024308
566	283.2849771
567	283.0244231
568	282.9417204
569	282.7506073
570	282.6092907
571	282.474764
572	282.3032863
573	282.2229553
574	282.1113549
575	281.9619611
576	281.8326608
577	281.7001323
578	281.6115725
579	281.3960662
580	281.1445322
581	280.9361701
582	280.787293
583	280.6346051
584	280.4592468
585	280.2587354
586	280.1149281
587	279.9166151
588	279.7839283
589	279.563847
590	279.4843944
591	279.2217403
592	279.0615463
593	278.7655606
594	278.6480474
595	278.5287789
596	278.3238172
597	278.2207658
598	277.998629
599	277.9419237
600	277.7374719
601	277.6200573
602	277.4623516
603	277.3803845
604	277.2661938
605	277.0890461
606	276.8442172
607	276.7506169
608	276.6946527
609	276.6055352
610	276.4026255
611	276.24687
612	276.1324685
613	276.0338546
614	275.8368441
615	275.7094204
616	275.6251076
617	275.4383881
618	275.2416176
619	275.1686467
620	275.004683
621	274.9207082
622	274.7301311
623	274.6046882
624	274.4783715
625	274.3410852
626	274.1420985
627	273.9996971
628	273.9005426
629	273.7582361
630	273.5965537
631	273.4208442
632	273.1980359
633	273.032539
634	272.8988561
635	272.7861921
636	272.6350105
637	272.4517116
638	272.2621677
639	272.1111409
640	271.9040429
641	271.8800553
642	271.6117058
643	271.490068
644	271.3504678
645	271.2043145
646	271.0662469
647	270.8426829
648	270.6791866
649	270.4810319
650	270.3712443
651	270.280606
652	270.176363
653	269.9959638
654	269.8970209
655	269.8134368
656	269.7278048
657	269.5774752
658	269.4366865
659	269.2941251
660	269.0259648
661	268.9107337
662	268.7798292
663	268.6811383
664	268.5327588
665	268.4079424
666	268.244953
667	268.1810243
668	268.1211777
669	268.0690145
670	267.9048823
671	267.8247941
672	267.6520908
673	267.4969762
674	267.3846286
675	267.2514323
676	267.1280694
677	266.9460087
678	266.8808674
679	266.7265908
680	266.6001181
681	266.481012
682	266.3656233
683	266.2080771
684	266.0726602
685	266.0058693
686	265.8027737
687	265.7202699
688	265.5669158
689	265.4265955
690	265.2805998
691	265.1244559
692	264.9078401
693	264.769151
694	264.6644077
695	264.5191759
696	264.4891699
697	264.3881319
698	264.3008361
699	264.1689932
700	264.0380197
701	263.9457834
702	263.8008749
703	263.7253916
704	263.5541265
705	263.4538284
706	263.3428366
707	263.2264079
708	263.1496762
709	263.0141412
710	262.9076229
711	262.8178527
712	262.7303644
713	262.5680955
714	262.499418
715	262.3505544
716	262.3124269
717	262.2111402
718	262.0756841
719	261.9470682
720	261.8499796
721	261.6908953
722	261.3763721
723	261.2907053
724	261.1394894
725	261.0266862
726	260.9035802
727	260.8336051
728	260.7035364
729	260.6668393
730	260.5717282
731	260.510749
732	260.3849235
733	260.2935343
734	260.160078
735	260.08262
736	259.9858539
737	259.8573084
738	259.7804098
739	259.6892324
740	259.5365506
741	259.4453845
742	259.3915502
743	259.2423615
744	258.9998122
745	258.8648283
746	258.7829937
747	258.6872709
748	258.5612065
749	258.4245062
750	258.2590693
751	258.2364869
752	258.1156145
753	257.9778623
754	257.9212611
755	257.6957311
756	257.6059475
757	257.3763368
758	257.1972644
759	257.0834138
760	257.0329509
761	256.943985
762	256.8026168
763	256.653179
764	256.5649982
765	256.4892656
766	256.3512681
767	256.1748414
768	256.0292338
769	255.9789786
770	255.8085141
771	255.7314804
772	255.6554671
773	255.5997956
774	255.4503439
775	255.2229033
776	255.0951916
777	254.9911057
778	254.9167189
779	254.863678
780	254.7404769
781	254.6608837
782	254.5526226
783	254.4716019
784	254.3976284
785	254.290164
786	254.0307603
787	253.9140409
788	253.6502608
789	253.4871043
790	253.4060645
791	253.2713853
792	253.1879695
793	253.0752874
794	253.0559903
795	252.9471328
796	252.795909
797	252.6844918
798	252.6766195
799	252.6134157
800	252.5154643
801	252.4060976
802	252.3358586
803	252.2534998
804	252.0808128
805	251.9212123
806	251.8266042
807	251.741607
808	251.5982576
809	251.5370101
810	251.4217765
811	251.292521
812	251.1439692
813	251.060038
814	250.9133344
815	250.8081069
816	250.7330145
817	250.679367
818	250.5244037
819	250.4489553
820	250.3243393
821	250.1818012
822	250.0942263
823	249.9891172
824	249.9208339
825	249.7590091
826	249.7014298
827	249.6088556
828	249.5382395
829	249.4782707
830	249.4015903
831	249.3189519
832	249.1715604
833	249.0309239
834	248.9915708
835	248.8822096
836	248.6878552
837	248.59885
838	248.546767
839	248.4726143
840	248.3572197
841	248.2332903
842	248.1064517
843	247.9770964
844	247.892671
845	247.7944081
846	247.6746689
847	247.5500853
848	247.3168232
849	247.283269
850	247.1879125
851	247.0789804
852	246.9976038
853	246.9422972
854	246.8379783
855	246.7959408
856	246.6985683
857	246.6092131
858	246.4550041
859	246.3783485
860	246.285324
861	246.2603642
862	246.1832653
863	246.15948
864	246.0913512
865	245.8748772
866	245.8031447
867	245.7083516
868	245.6091051
869	245.5006978
870	245.4279747
871	245.3482645
872	245.1608791
873	245.046218
874	244.8595239
875	244.7817342
876	244.6449733
877	244.5418183
878	244.4224321
879	244.3254297
880	244.2192834
881	244.1405496
882	244.0525254
883	243.9676838
884	243.9201172
885	243.8738455
886	243.7471553
887	243.6676854
888	243.5710852
889	243.4047501
890	243.3023685
891	243.2149229
892	243.1400612
893	243.0086814
894	242.8769943
895	242.8070193
896	242.7025264
897	242.6226502
898	242.5110045
899	242.4304495
900	242.364168
901	242.2727235
902	242.0763946
903	241.9535285
904	241.8546852
905	241.7845716
906	241.7304498
907	241.6416296
908	241.6101304
909	241.5430713
910	241.4679575
911	241.4134794
912	241.2763444
913	241.2142805
914	241.1788339
915	241.0732104
916	240.939801
917	240.8296325
918	240.6823809
919	240.5759726
920	240.4767004
921	240.3568528
922	240.2847454
923	240.2055828
924	240.1213625
925	240.055106
926	239.9389179
927	239.6929881
928	239.6182896
929	239.5461162
930	239.4535035
931	239.2881258
932	239.1942594
933	239.1047094
934	239.0386792
935	238.9802755
936	238.8747441
937	238.8192224
938	238.698892
939	238.5176089
940	238.4144169
941	238.2913784
942	238.2255996
943	238.1673912
944	238.1099124
945	238.0249432
946	237.9605808
947	237.8846747
948	237.8576508
949	237.7430278
950	237.680485
951	237.5064834
952	237.383926
953	237.2600204
954	237.162583
955	237.0682766
956	236.9686745
957	236.8949703
958	236.7752185
959	236.6684435
960	236.5921082
961	236.4728229
962	236.412945
963	236.3332743
964	236.2131244
965	236.1337541
966	236.0825126
967	235.9919546
968	235.9068378
969	235.7379114
970	235.6473769
971	235.6112345
972	235.4601998
973	235.4067098
974	235.2916451
975	235.2251676
976	235.085839
977	234.9679971
978	234.8871578
979	234.7877904
980	234.7113161
981	234.6538653
982	234.5383347
983	234.3743177
984	234.2403689
985	234.1616953
986	234.0841631
987	233.9753519
988	233.9199399
989	233.8913178
990	233.7645824
991	233.6527109
992	233.5659753
993	233.4693973
994	233.3657032
995	233.1730696
996	233.1070465
997	233.0492892
998	232.9731733
999	232.8894879
