area_sqm,rooms,price_cold,population,oev_score,solar_class,elevation_m,lv95_east,lv95_north,gbauj,ganzwhg,garea
57,2,1680,87,38168.0,3.0,434.5,2665273.25,1211599.125,1952,18,268.0
105,3,3152,3,159.0,1.0,593.4,2516989.5,1148449.625,1960,1,86.0
140,5,4330,190,16237.0,3.0,409.9,2498810.25,1117912.875,1919,7,408.0
52,2,1434,61,1826.0,2.0,479.7,2697116.5,1244335.625,1961,9,249.0
81,3,1400,134,15264.0,2.0,456.0,2689826.5,1255178.0,1997,7,216.0
76,2,2065,90,2025.0,3.0,426.7,2694326.0,1262393.0,2016,8,250.0
75,4,1480,30,1910.0,3.0,333.6,2608808.25,1263147.5,1967,5,203.0
65,2,1495,98,268.0,2.0,748.2,2548706.75,1160893.5,2012,11,290.0
30,1,660,89,13246.0,2.0,672.6,2746052.75,1254729.5,1983,7,124.0
76,3,1770,148,339.0,5.0,527.4,2519410.5,1149995.625,1730,4,108.0
30,1,1200,286,9968.0,2.0,402.5,2678688.25,1249280.625,1973,44,674.0
62,3,1180,39,7562.0,4.0,531.5,2604899.5,1207596.5,1968,20,392.0
50,2,1000,303,57030.0,1.0,415.0,2681569.75,1247078.5,1910,7,178.0
100,4,300,44,7811.0,2.0,395.5,2690300.75,1283502.125,1926,5,280.0
72,3,1990,493,13328.0,3.0,451.3,2665918.75,1209352.25,2012,186,648.0
21,1,1045,11,38168.0,1.0,434.6,2665435.75,1211521.0,1850,4,241.0
98,3,1515,105,3630.0,3.0,401.8,2690858.75,1263721.0,2019,4,251.0
80,3,1450,103,11262.0,1.0,702.6,2745186.5,1253400.375,1918,4,109.0
85,3,1680,93,4243.0,3.0,467.2,2690971.75,1209004.625,1999,8,208.0
160,6,3490,97,6328.0,2.0,458.3,2699778.25,1262609.25,2006,6,285.0
92,4,1440,29,5161.0,4.0,440.3,2691945.5,1286518.875,2017,45,1056.0
74,2,1444,7,12397.0,3.0,460.5,2682505.0,1243074.75,1931,6,189.0
79,2,1310,107,13175.0,1.0,436.9,2666410.5,1210635.125,2016,6,122.0
53,2,1550,165,24677.0,3.0,435.8,2679589.25,1247105.5,1964,7,302.0
32,1,523,174,13042.0,3.0,666.2,2747215.0,1254915.875,1918,4,102.0
64,3,1390,96,5652.0,3.0,450.0,2698890.5,1261040.5,1961,12,194.0
22,1,970,116,13246.0,3.0,671.1,2746015.75,1254661.75,1954,10,90.0
43,2,1242,37,25680.0,4.0,389.4,2673690.0,1250200.125,1960,7,313.0
35,1,1251,231,32402.0,4.0,406.4,2681153.5,1248526.125,1942,19,209.0
35,1,1037,62,2841.0,3.0,433.8,2685687.0,1250975.5,1963,4,370.0
33,1,967,109,125345.0,4.0,411.1,2682526.25,1247545.125,1893,5,172.0
92,3,1250,101,8273.0,3.0,270.3,2612745.25,1266942.875,1952,7,313.0
36,2,750,92,17775.0,3.0,669.5,2747458.5,1255188.375,1963,22,960.0
60,3,1380,108,8218.0,1.0,568.8,2758758.5,1192114.75,1952,4,345.0
50,2,1130,132,21391.0,3.0,424.5,2685080.75,1254430.0,1952,14,201.0
75,3,1370,23,2969.0,1.0,415.4,2690086.25,1284132.25,1915,3,146.0
23,1,535,219,7142.0,2.0,276.0,2609480.5,1267868.25,1958,14,497.0
65,3,1940,349,69089.0,3.0,415.1,2681738.0,1246769.625,1899,14,203.0
17,1,850,87,22906.0,1.0,435.6,2696339.25,1262185.5,1924,1,98.0
32,1,1150,51,84186.0,3.0,443.6,2683471.5,1251486.0,1964,35,335.0
71,3,1330,197,4165.0,3.0,254.4,2613661.5,1266428.625,1961,16,184.0
42,2,1195,105,13995.0,3.0,399.9,2532132.0,1155226.875,1956,15,248.0
